Bolagsid;Kollektivavtal;Postkod;Ort;Telnmr;JuridiskForm;SNI;Start_Ar;Bransch;Genomnsnittlig_lön_exkl_pension;Genomsnittlig_lön_Inkl. Pension_TSEK;Total_lön;antalanstallda_UC;Omsättning_SEK;Resultat
223;1;51122;Kinna;0320-210580;49;46410;1971;Partihandel;428888;756,37;11580000;27;123274000;8820
224;0;42246;Hisings Backa;031-528680;49;43341;1971;Bygg-, Design- & Inredningsverksamhet;403000;679,59;8866000;22;19127000;339
225;0;13526;Tyresö;08-4487003;49;77390;1971;Uthyrning & Leasing;443230;686,85;11524000;36;75627000;9182
226;1;10315;Stockholm;08-4111157;49;47781;1971;Detaljhandel;391000;548,06;6256000;16;28259000;5622
227;0;57091;Kristdala;0491-763050;49;25620;1971;Tillverkning & Industri;344321;506,82;9641000;28;88133000;6772
228;0;26982;Båstad;0431-85000;49;70100;1971;Tillverkning & Industri;827046;1363,7;53758000;67;238529000;110566
229;0;87224;Kramfors;0612-717200;49;28120;1971;Tillverkning & Industri;330340;467,67;48560000;172;264179000;-25218
230;0;10263;Stockholm;08-6986800;49;73120;1971;Reklam, Pr & Marknadsundersökning;614833;942,57;44268000;72;1788133000;19079
231;0;12090;Stockholm;010-6018585;49;47999;1971;Detaljhandel;447656;664,03;177272000;396;969673000;-2316
232;0;33328;Smålandsstenar;0371-34400;49;25620;1971;Tillverkning & Industri;430507;603,91;111071000;796;2039768000;93129
233;0;77013;Grangärde;0240-591100;49;28300;1971;Tillverkning & Industri;363621;515,01;26908000;74;342640000;72730
234;0;40022;Göteborg;031-584400;49;26110;1971;Tillverkning & Industri;504520;788,73;12613000;26;34642000;-6139
235;0;44737;Vårgårda;0322-626200;49;72190;1971;Utbildning, Forskning & Utveckling;751765;1114,45;35333000;47;1691446000;217316
236;0;50110;Borås;033-290900;49;17290;1971;Tillverkning & Industri;473054;706,67;26018000;55;135331000;2273
237;0;69221;Kumla;019-306600;49;46420;1971;Partihandel;372700;566,83;11181000;30;122344000;-13532
238;0;82426;Hudiksvall;0650-76600;49;62010;1971;Data, IT & Telekommunikation;555901;743,46;90612000;182;430660000;63198
239;0;33323;Smålandsstenar;0371-34300;49;25110;1971;Tillverkning & Industri;319987;459,86;25599000;80;116894000;1059
240;0;16206;Vällingby;08-7392070;49;41200;1971;Bygg-, Design- & Inredningsverksamhet;477304;692,43;10978000;23;74357000;12028
241;0;35245;Växjö;0470-744000;49;46610;1971;Partihandel;391100;596,46;19555000;50;360920000;9318
242;0;29821;Tollarp;044-311735;49;28220;1971;Tillverkning & Industri;340294;515;5785000;21;37811000;886
243;0;31221;Laholm;0430-73100;49;18121;1971;Tillverkning & Industri;349150;515,97;13966000;35;40992000;-1391
244;0;76122;Norrtälje;0176-17080;49;47522;1971;Detaljhandel;351190;529,35;7375000;20;39769000;1019
245;0;64291;Flen;0157-15030;49;43991;1971;Bygg-, Design- & Inredningsverksamhet;419659;734,12;18465000;43;88815000;8115
246;0;34221;Alvesta;0451-30690;49;16102;1971;Tillverkning & Industri;401163;562,77;24471000;61;442417000;45999
247;0;15321;Järna;08-55481110;49;46731;1971;Partihandel;396615;563,81;10312000;26;99137000;5802
248;0;25107;Helsingborg;042-292005;49;20150;1971;Tillverkning & Industri;379222;595,59;6826000;17;50300000;4942
249;0;57697;Vrigstad;0382-31072;49;16102;1971;Tillverkning & Industri;418833;667,72;15078000;32;252528000;18182
250;0;82952;Bergsjö;0652-71090;49;25730;1971;Tillverkning & Industri;277606;388,62;9161000;34;47665000;3224
251;0;20250;Malmö;0771-330033;49;43210;1971;Bygg-, Design- & Inredningsverksamhet;509267;724,36;375330000;864;1884166000;45752
252;0;56106;Tenhult;036-393700;49;29200;1971;Tillverkning & Industri;355709;489,91;206667000;581;1224074000;125006
253;0;57450;Ekenässjön;0383-34700;49;25620;1971;Tillverkning & Industri;366720;556,99;24937000;68;97673000;7814
254;0;75003;Uppsala;018-169270;49;43210;1971;Bygg-, Design- & Inredningsverksamhet;356263;466,93;13538000;29;120240000;4089
255;0;43232;Varberg;070-3773883;49;43120;1971;Bygg-, Design- & Inredningsverksamhet;202578;620,61;3849000;23;37593000;1121
256;0;58422;Linköping;013-125950;49;42110;1971;Bygg-, Design- & Inredningsverksamhet;536136;788,98;23590000;44;189651000;3932
257;0;19129;Sollentuna;010-7230000;49;38210;1971;Avlopp, Avfall, El & Vatten;406015;580,48;102316000;252;1007754000;55801
258;0;57595;Eksjö;0381-40500;49;16102;1971;Tillverkning & Industri;466573;680,68;38259000;82;445463000;34471
259;0;30255;Halmstad;035-109000;49;43341;1971;Bygg-, Design- & Inredningsverksamhet;334250;533,49;10696000;41;39103000;1668
260;0;57523;Eksjö;0381-38300;49;16101;1971;Tillverkning & Industri;355238;502,43;14920000;42;214451000;19756
261;0;64145;Katrineholm;0150-10062;49;10710;1971;Livsmedelsframställning;279178;385,59;7817000;32;24052000;1529
262;0;45493;Brastad;0523-40046;49;30110;1971;Tillverkning & Industri;329838;533,92;10225000;25;25760000;-4080
263;0;33423;Anderstorp;0371-89880;49;25610;1971;Tillverkning & Industri;401760;559,8;20088000;50;67777000;-10378
264;0;33142;Värnamo;0370-301770;49;23120;1971;Tillverkning & Industri;440760;703,08;11019000;26;56605000;-2351
265;0;82322;Kilafors;0278-659200;49;29200;1971;Tillverkning & Industri;390450;556,69;27722000;71;192809000;4278
266;0;13526;Tyresö;08-50640500;49;28290;1971;Tillverkning & Industri;438000;645,84;66138000;151;388189000;9463
267;0;31168;Slöinge;0346-715100;49;10520;1971;Livsmedelsframställning;456338;689,22;59324000;130;531482000;22074
268;0;41834;Göteborg;031-555550;49;41200;1971;Bygg-, Design- & Inredningsverksamhet;384333;637,03;12683000;29;54290000;2152
269;0;57229;Oskarshamn;0491-767676;49;70100;1971;Teknisk Konsultverksamhet;674888;998,35;12148000;859;943465000;-2513
270;0;14191;Huddinge;08-7469149;49;25610;1971;Tillverkning & Industri;333050;504,64;13322000;42;38654000;169
271;0;57633;Sävsjö;0382-61320;49;41200;1971;Bygg-, Design- & Inredningsverksamhet;340947;569,76;12956000;34;58520000;29
272;0;51455;Ljungsarp;0321-63180;49;29320;1971;Tillverkning & Industri;350918;500,31;17195000;49;53140000;4846
273;0;73231;Arboga;0589-85550;49;25999;1971;Tillverkning & Industri;396521;568,78;9120000;23;49066000;959
274;0;33331;Smålandsstenar;0371-33330;49;16101;1971;Tillverkning & Industri;318900;447,83;9567000;30;142680000;13342
275;0;53182;Källby;0510-84500;49;10850;1971;Livsmedelsframställning;353025;507,37;360792000;1103;2812798000;112565
276;0;55302;Jönköping;036-181200;49;46390;1971;Partihandel;357267;499,18;52161000;166;671731000;8181
277;0;43423;Kungsbacka;0300-35660;49;46460;1971;Partihandel;526526;864,32;10004000;19;127294000;4060
278;0;10420;Stockholm;08-7722320;49;46710;1971;Partihandel;839600;1364,05;16792000;20;2376807000;102594
279;0;20121;Malmö;040-358500;49;52290;1971;Transport & Magasinering;522259;772,11;14101000;27;337533000;2686
280;0;21141;Malmö;040-6113400;49;68202;1971;Fastighetsverksamhet;279555;519,76;7548000;38;2761000;-21443
281;0;51690;Dalsjöfors;033-222700;49;29320;1971;Tillverkning & Industri;350314;549,41;24522000;70;140451000;6625
282;0;29191;Kristianstad;044-286100;49;10620;1971;Livsmedelsframställning;429319;659,79;72555000;169;695647000;-12510
283;0;25005;Helsingborg;042-388660;49;52100;1971;Transport & Magasinering;386074;570,18;10424000;34;65879000;7391
284;0;78124;Borlänge;0243-73300;49;68201;1971;Fastighetsverksamhet;395595;573,13;47867000;121;434068000;97610
285;0;42537;Hisings Kärra;031-577730;49;13960;1971;Tillverkning & Industri;354390;530,61;22681000;64;178300000;19471
286;0;60114;Norrköping;011-132020;49;20530;1971;Tillverkning & Industri;405105;798,84;7697000;25;78052000;17368
287;0;12609;Hägersten;08-880990;49;46141;1971;Partihandel;657046;871,92;42051000;64;417511000;129770
288;0;22478;Lund;046-158550;49;28250;1971;Tillverkning & Industri;442174;717,83;27857000;63;188048000;17754
289;0;54121;Skövde;;49;43120;1971;Bygg-, Design- & Inredningsverksamhet;384052;575,55;14594000;40;99159000;9067
290;0;29102;Kristianstad;044-123030;49;32501;1971;Tillverkning & Industri;337210;575,37;6407000;19;31941000;6552
291;0;30104;Halmstad;035-149000;49;25620;1971;Tillverkning & Industri;454678;677,44;99120000;284;1709134000;78439
292;0;25668;Helsingborg;042-296585;49;43221;1971;Bygg-, Design- & Inredningsverksamhet;460193;860,07;14266000;30;71621000;7528
293;0;51124;Kinna;0320-209970;49;46410;1971;Partihandel;438111;722,37;7886000;19;64056000;5144
294;0;50464;Borås;033-237900;49;28240;1971;Tillverkning & Industri;605285;986,29;12711000;21;89143000;47835
295;0;43533;Mölnlycke;031-880520;49;45202;1971;Reparation & Installation;331160;544,52;8279000;27;33542000;1559
